id,infinitive,past,past_participle,translation
154,overhang,overhung,overhung,нависать
155,overhear,overheard,overheard,подслуш(ив)ать
156,overlay,overlaid,overlaid,покры(ва)ть
157,overpay,overpaid,overpaid,переплачивать
158,override,overrode,overridden,"отвергать, отклонять"
159,overrun,overran,overrun,переливаться через край
160,oversee,oversaw,overseen,надзирать за
161,overshoot,overshot,overshot,расстрелять
162,oversleep,overslept,overslept,прос(ы)пать
163,overtake,overtook,overtaken,догонять
164,overthrow,overthrew,overthrown,свергать
165,partake,partook,partaken,принимать участие
166,pay,paid,paid,платить
167,plead,pleaded (pled),pleaded (pled),обращаться к суду
168,prepay,prepaid,prepaid,платить вперед
169,prove,proved,proved (proven),"доказывать, оказаться"
170,put,put,put,класть
171,quit,quit (quitted),quit (quitted),"покидать, оставлять"
172,read,read (red),read (red),читать
173,rebind,rebound,rebound,перевязывать
174,rebuild,rebuilt,rebuilt,перестроить
175,recast,recast,recast,"видоизменять, преобразовывать"
176,redo,redid,redone,повторять сделанное
177,rehear,reheard,reheard,слушать вторично
178,remake,remade,remade,переделывать
179,rend,rent,rent,раздирать
180,repay,repaid,repaid,отдавать долг
181,rerun,reran,rerun,выполнять повторно
182,resell,resold,resold,перепродавать
183,reset,reset,reset,возвращать
184,resit,resat,resat,пересиживать
185,retake,retook,retaken,забирать
186,retell,retold,retold,пересказывать
187,rewrite,rewrote,rewritten,пере(за)писать
188,rid,rid (ridded),rid (ridded),избавлять
189,ride,rode,ridden,ездить верхом
190,ring,rang,rung,звонить
191,rise,rose,risen,подняться
192,rive,rived,riven,расщеплять
193,run,ran,run,"бежать, течь"
194,saw,sawed,sawn (sawed),пилить
195,say,said,said,"говорить, сказать"
196,see,saw,seen,видеть
197,seek,sought,sought,искать
198,sell,sold,sold,продавать
199,send,sent,sent,послать
200,set,set,set,устанавливать
201,sew,sewed,sewed (sewn),шить
202,shake,shook,shaken,трясти
203,shave,shaved,shaved (shaven),брить(ся)
204,shear,sheared,shorn (sheared),стричь
205,shed,shed,shed,проливать
206,shine,shone (shined),shone (shined),"светить, сиять"
207,shoe,shod,shod,"обувать, подковывать"
208,shoot,shot,shot,"стрелять, давать побеги"
209,show,showed,shown,показывать
210,shred,shred (shredded),shred (shredded),"кромсать, расползаться"
211,shrink,shrank (shrunk),shrunk,"сокращаться, сжиматься, отпрянуть"
212,shrive,shrove (shrived),shriven (shrived),исповедовать
213,shut,shut,shut,закрывать
214,sing,sang,sung,петь
215,sink,sank,sunk,"опускаться, погружаться, тонуть"
216,sit,sat,sat,сидеть
217,slay,slew,slain,убивать
218,sleep,slept,slept,спать
219,slide,slid,slid,скользить
220,sling,slung,slung,"швырять, подвешивать"
221,slink,slunk,slunk,идти крадучись
222,slit,slit,slit,"раздирать(ся), разрезать (вдоль)"
223,smell,smelt,smelt,"пахнуть, нюхать"
224,smite,smote,smitten,"ударять, разбивать"
225,sow,sowed,sown,(по)сеять
226,speak,spoke,spoken,говорить
227,speed,sped,sped,"ускорять, спешить"
228,spell,spelt,spelt,писать или читать по буквам
229,spend,spent,spent,тратить
230,spill,spilt,spilt,пролить
231,spin,spun,spun,прясть
232,spit,spat (spit),spat (spit),плевать
233,split,split,split,расщепить(ся)
234,spoil,spoilt (spoiled),spoilt (spoiled),портить
235,spotlight,spotlit (spotlighted),spotlit (spotlighted),осветить
236,spread,spread,spread,распространиться
237,spring,sprang,sprung,"вскочить, возникнуть"
238,stand,stood,stood,стоять
239,stave,staved (stove),staved (stove),"проламывать, разби(ва)ть"
240,steal,stole,stolen,украсть
241,stick,stuck,stuck,"уколоть, приклеить"
242,sting,stung,stung,ужалить
243,stink,stank (stunk),stunk,вонять
244,strew,strewed,strewn (strewed),"усеять, устлать"
245,stride,strode,stridden,шагать
246,strike,struck,struck,"ударить, бить, бастовать"
247,string,strung,strung,"нанизать, натянуть"
248,strive,strove,striven,стараться
249,sublet,sublet,sublet,передавать в субаренду
250,swear,swore,sworn,"(по)клясться, присягнуть"
251,sweep,swept,swept,"мести, промчаться"
252,swell,swelled,swollen,вздуться
253,swim,swam,swum,плыть
254,swing,swung,swung,качаться
255,take,took,taken,"взять, брать"
256,teach,taught,taught,учить
257,tear,tore,torn,рвать
258,tell,told,told,"рассказывать, сказать"
259,think,thought,thought,думать
260,thrive,throve (trived),thriven (trived),процветать
261,throw,threw,thrown,бросить
262,thrust,thrust,thrust,"толкнуть, сунуть"
263,tread,trod,trod (trodden),ступать
264,unbend,unbent,unbent,разогнуть(ся)
265,underbid,underbid,underbid,снижать цену
266,undercut,undercut,undercut,сбивать цены
267,undergo,underwent,undergone,"проходить, подвергаться"
268,underlie,underlay,underlain,лежать в основе
269,underpay,underpaid,underpaid,оплачивать слишком низко
270,undersell,undersold,undersold,продавать дешевле
271,understand,understood,understood,понимать
272,undertake,undertook,undertaken,предпринять
273,underwrite,underwrote,underwritten,подписыва(ть)ся
274,undo,undid,undone,уничтожать сделанное
275,unfreeze,unfroze,unfrozen,размораживать
276,unsay,unsaid,unsaid,брать назад свои слова
277,unwind,unwound,unwound,развертывать
278,uphold,upheld,upheld,поддерживать
279,upset,upset,upset,опрокинуть(ся)
280,wake,woke (waked),woken (waked),"просыпаться, будить"
281,waylay,waylaid,waylaid,подстерегать
282,wear,wore,worn,носить (одежду)
283,weave,wove (weaved),woven (weaved),ткать
284,wed,wed (wedded),wed (wedded),выдавать замуж
285,weep,wept,wept,плакать
286,wet,wet (wetted),wet (wetted),"мочить, увлажнять"
287,win,won,won,выиграть
288,wind,wound,wound,заводить (механизм)
289,withdraw,withdrew,withdrawn,"взять назад, отозвать"
290,withhold,withheld,withheld,удерживать
291,withstand,withstood,withstood,противиться
292,work,worked (wrought),worked (wrought),работать
293,wring,wrung,wrung,"скрутить, сжать"
294,write,wrote,written,писать
