id,infinitive,past,past_participle,translation
1,arise,arose,arisen,подниматься
2,awake,awoke,awoken,робуждать
3,be,was (were),been,быть
4,bear,bore,born,"рожать, переносить"
5,beat,beat,beaten,бить
